0.0
94.13333333333334
561.4333333333333
728.8
666.7333333333333
740.4
770.6993006993007 715.7142857142857
818.1666666666666 836.2777777777778
952.8260869565217 731.6826923076923
825.4716981132076 743.8636363636364
911.2068965517242 767.5
819.3421052631579 845.1388888888889
762.2115384615385 690.3260869565217
666.0648148148148 508.92857142857144 511.0
769.3478260869565 768.8333333333334 905.7894736842105
1046.4 642.3529411764706 1036.3333333333333
913.3333333333334 667.6086956521739 844.3333333333334
982.5 765.1851851851852 870.125
610.7692307692307 741.6176470588235 867.9487179487179
687.2413793103449 573.4 917.1818181818181
682.3214285714286 803.3928571428571 840.0769230769231
889.5081967213115 650.0 680.7575757575758
716.0909090909091 980.952380952381 708.125
787.3333333333334 1030.0 466.6666666666667
840.438596491228 847.8571428571429 771.1764705882352
725.9183673469388 952.5925925925926 750.5681818181819
737.0 505.9259259259259 794.1860465116279
734.8717948717949 587.3076923076923 653.1395348837209
857.1052631578947 574.0384615384615 678.2142857142857
758.0263157894736 589.8076923076923 615.3658536585366
722.7027027027027 950.7692307692307 849.25
624.0540540540541 756.9230769230769 776.5
713.0555555555555 721.7307692307693 697.3076923076923
686.8055555555555 576.3461538461538 826.025641025641
623.6363636363636 333.8 908.918918918919
735.0 475.0 621.0294117647059
775.1785714285714 550.952380952381 776.1290322580645
773.1481481481482 480.0 731.3333333333334
570.7692307692307 705.25 828.3928571428571
701.0416666666666 691.8181818181819 601.0
762.2727272727273 829.4 753.2608695652174
877.2916666666666 571.2962962962963 588.8095238095239
522.8846153846154 544.7916666666666 894.7368421052631
613.0 801.5217391304348 805.2272727272727
872.0454545454545 577.4 755.8333333333334
640.8333333333334 845.0 934.4230769230769
885.0 688.3333333333334 972.2413793103449
758.9130434782609 755.952380952381 714.516129032258
892.75 865.2272727272727 836.8518518518518
1037.2727272727273 707.9166666666666 808.8
805.8 833.9130434782609 738.9130434782609
618.4782608695652 986.2 715.952380952381
796.25 903.4615384615385 918.8636363636364
726.9565217391304 720.8 909.8
854.5238095238095 793.6363636363636 780.1851851851852
813.4782608695652 898.3333333333334 862.9166666666666
763.3333333333334 863.1481481481482 681.2962962962963
704.1304347826087 891.875 816.6666666666666
700.0 981.9230769230769 784.8076923076923
892.9545454545455 937.5862068965517 968.4782608695652
759.375 898.0769230769231 782.2
1040.2 1011.1111111111111 905.4545454545455
788.9285714285714 1064.3333333333333 797.9166666666666
610.0 966.09375 670.2380952380952
894.0909090909091 1039.3333333333333 724.0
856.0 906.4285714285714 958.695652173913
882.6086956521739 846.3461538461538 856.5384615384615
499.8076923076923 980.0 795.0
741.304347826087 974.0384615384615 824.2307692307693
835.952380952381 842.9310344827586 802.2916666666666
665.0 769.4230769230769 825.5555555555555
860.9090909090909 858.9583333333334 715.6
753.3333333333334 886.9230769230769 833.6363636363636
922.6190476190476 626.7857142857143 1002.5
1005.4166666666666 900.9615384615385 852.2222222222222
752.3076923076923 755.5172413793103 918.125
927.5 636.7307692307693 916.1111111111111
797.3076923076923 803.695652173913 892.5862068965517
726.4583333333334 946.3461538461538 977.7777777777778
550.2380952380952 637.0370370370371 953.1034482758621
725.0 929.375 852.9032258064516
928.75 653.1481481481482 748.5714285714286
785.0 826.8 815.1923076923077
830.9615384615385 1014.2857142857143 932.9166666666666
1011.1363636363636 785.0 891.4
756.4 817.5925925925926 751.25
769.5454545454545 832.5 925.6
836.25 882.6923076923077 790.3703703703703
857.0 955.0 755.2173913043479
675.2083333333334 940.3846153846154 805.9090909090909
785.952380952381 745.0 847.6086956521739
821.9565217391304 817.0 569.4
787.8846153846154 725.7142857142857 745.0
931.5217391304348 803.6 923.8
833.8461538461538 845.0 838.3928571428571
684.6551724137931 854.2 952.2
882.8846153846154 842.3214285714286 962.8571428571429
820.8928571428571 908.3333333333334 1012.3333333333334
671.3461538461538 652.3214285714286 915.8928571428571
724.7916666666666 873.6538461538462 965.625
912.9545454545455 897.9310344827586 850.5172413793103
