150 0 0 0
150 0 0 0
150 0 0 0
150 0 0 0
150 0 0 0
80 70 0 0
128 22 0 0
103 47 0 0
62 88 0 0
21 129 0 0
52 98 0 0
62 88 0 0
56 94 0 0
55 32 63 0
65 11 74 0
58 37 48 7
91 34 24 1
78 36 24 12
58 22 21 50
59 27 17 47
64 30 11 45
65 31 9 45
68 34 8 40
70 33 7 41
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
70 40 6 35
