150
150
150
150
80 70
44 106
24 126
61 89
34 116
53 68
51 38
57 11
70 30
67 66
59 19
73 21
67 25
70 16
65 4
81 5
18 29
18 26
16 89
22 87
22 65
31 21
34 48
36 11
35 13
35 16
34 19
33 23
37 27
40 29
37 32
41 35
43 37
47 33
43 37
39 41
37 39
41 35
37 39
41 43
39 41
43 37
39 34
35 38
39 34
35 37
39 34
41 36
39 42
35 38
39 42
43 38
39 42
45 40
43 38
39 42
35 38
39 42
37 40
34 44
38 40
34 44
38 40
36 38
40 34
44 37
40 41
38 39
42 35
38 39
42 35
38 39
41 43
39 41
41 36
39 42
43 38
37 40
41 36
37 40
41 36
39 42
35 46
39 42
41 36
37 40
33 44
36 40
34 38
38 35
42 32
40 30
38 35
42 31
40 30
38 35
36 41
